year,lga,state,fpi_score,annual_rainfall_mm,population_exposed_thousands
2017,Ayamelum,Anambra,9.53149679,311,50
2017,Babura,Jigawa,4.046146596,819,127
2017,Badagry,Lagos,6.197532727,989,50
2017,Bade,Yobe,2.390106387,807,66
2017,Bagudo,Kebbi,2.708834374,207,120
2017,Bagwai,Kano,4.688220829,436,111
2017,Bakassi,Cross River,4.616493225,335,100
2017,Bakori,Katsina,4.757967419,592,188
2017,Bakura,Zamfara,3.370551708,490,187
2017,Balanga,Gombe,2.330653071,103,189
2017,Bali,Taraba,4.683069378,472,96
2017,Bama,Borno,1.142790238,611,172
2017,Barkin Ladi,Plateau,5.225964012,334,89
2017,Baruten,Kwara,2.847960432,279,91
2017,Bassa,Kogi,8.682529843,605,92
2017,Bassa,Plateau,4.936589268,647,123
2017,Batagarawa,Katsina,4.198132503,522,95
2017,Batsari,Katsina,4.053959777,546,125
2017,Bauchi,Bauchi,3.953681831,649,153
2017,Baure,Katsina,3.984464288,912,170
2017,Bayo,Borno,2.085103311,191,80
2017,Bebeji,Kano,4.842794478,734,107
2017,Bekwarra,Cross River,7.68723865,312,114
2017,Bende,Abia,7.862693143,424,84
2017,Biase,Cross River,7.037945247,141,178
2017,Bichi,Kano,4.730383292,763,57
2017,Bida,Niger,5.62245059,743,54
2017,Billiri,Gombe,2.643966754,166,85
2017,Bindawa,Katsina,4.318876637,349,183
2017,Binji,Sokoto,2.542870098,117,126
2017,Biriniwa,Jigawa,3.091315728,815,179
2017,Birnin Kudu,Jigawa,4.228002922,403,157
2017,Birnin Gwari,Kaduna,4.480577757,627,119
2017,Birnin Kebbi,Kebbi,2.712562438,682,155
2017,Birnin Magaji,Zamfara,4.043860585,272,160
2017,Biu,Borno,1.799362077,652,79
2017,Bodinga,Sokoto,2.970718243,629,196
2017,Bogoro,Bauchi,4.679998585,468,149
2017,Boki,Cross River,6.951550768,633,191
2017,Bokkos,Plateau,5.691174618,527,173
2017,Boluwaduro,Osun,5.860491514,622,76
2017,Bomadi,Delta,7.049280008,277,110
2017,Bonny,Rivers,5.511238996,462,141
2017,Borgu,Niger,2.777610179,478,185
2017,Boripe,Osun,6.131825924,292,200
2017,Bosso,Niger,5.248908062,283,65
2017,Brass,Bayelsa,5.151555419,507,73
2017,Buji,Jigawa,3.940590234,959,79
2017,Bukkuyum,Zamfara,3.426636563,620,57
2017,Bungudu,Zamfara,3.959429557,233,60
2017,Bunkure,Kano,4.750432832,585,146
2017,Bunza,Kebbi,2.663250692,852,124
2017,Bursari,Yobe,1.96397449,792,180
2017,Buruku,Benue,7.525241802,426,127
2017,Burutu,Delta,6.791660221,593,160
2017,Bwari,Federal Capital Territory,6.395989236,607,111
2017,Calabar Municipal,Cross River,5.454342365,146,80
2017,Calabar South,Cross River,5.241256952,841,170
2017,Chanchaga,Niger,5.505366802,677,126
2017,Charanchi,Katsina,4.425984158,682,82
2017,Chibok,Borno,1.461487318,674,117
2017,Chikun,Kaduna,5.00705526,250,170
2017,Dala,Kano,4.540184498,320,66
2017,Damaturu,Yobe,1.858469073,483,100
2017,Damban,Bauchi,2.710667919,411,169
2017,Dambatta,Kano,4.334812775,755,91
2017,Damboa,Borno,1.506266398,655,114
2017,Dan Musa,Katsina,4.419658096,462,141
2017,Dandi,Kebbi,2.712700621,483,67
2017,Dandume,Katsina,4.672138426,883,98
2017,Dange Shuni,Sokoto,3.106028583,343,195
2017,Danja,Katsina,4.71285231,192,115
2017,Darazo,Bauchi,3.012770214,833,86
2017,Dass,Bauchi,4.524510218,365,191
2017,Daura,Katsina,3.992735108,802,86
2017,Dawakin Kudu,Kano,4.656860224,507,184
2017,Dawakin Tofa,Kano,4.617890328,304,67
2017,Degema,Rivers,5.86108764,119,56
2017,Dekina,Kogi,9.022493705,901,179
2017,Demsa,Adamawa,2.516845236,549,107
2017,Dikwa,Borno,1.175471926,278,145
2017,Doguwa,Kano,4.5525991,268,170
2017,Doma,Nasarawa,7.802527486,950,112
2017,Donga,Taraba,5.943494499,587,163
2017,Dukku,Gombe,2.796484211,542,96
2017,Dunukofia,Anambra,9.665261269,668,131
2017,Dutse,Jigawa,4.275485805,833,60
2017,Dutsi,Katsina,4.152078311,750,183
2017,Dutsin Ma,Katsina,4.47032651,336,95
2017,Eastern Obolo,Akwa Ibom,5.234763463,824,70
2017,Ebonyi,Ebonyi,8.562731361,583,143
2017,Edati,Niger,5.10272709,759,175
2017,Ede North,Osun,5.976754506,976,100
2017,Ede South,Osun,5.971593094,713,190
2017,Edu,Kwara,4.708836716,864,196
2017,Efon,Ekiti,6.636424201,512,73
2017,Egbado North,Ogun,5.779276408,578,76
2017,Egbado South,Ogun,6.170290221,408,135
2017,Egbeda,Oyo,6.266717831,638,164
2017,Egbedore,Osun,5.772211499,705,116
2017,Egor,Edo,8.510786533,491,131
2017,Ehime Mbano,Imo,8.142801489,326,68
2017,Ejigbo,Osun,5.708393097,220,100
2017,Ekeremor,Bayelsa,6.241064894,954,189
2017,Eket,Akwa Ibom,5.12670358,745,179
2017,Ekiti,Kwara,6.309780025,837,129
2017,Ekiti East,Ekiti,7.503043705,637,55
2017,Ekiti South-West,Ekiti,6.822650552,898,91
2017,Ekiti West,Ekiti,6.726618965,898,179
2017,Ekwusigo,Anambra,8.924158096,790,108
2017,Eleme,Rivers,6.32685864,352,83
2017,Emohua,Rivers,6.862591505,211,85
2017,Emure,Ekiti,7.51911572,451,189
2017,Enugu East,Enugu,9.210105828,170,119
2017,Enugu North,Enugu,9.276448144,381,193
2017,Enugu South,Enugu,9.297163725,413,188
2017,Epe,Lagos,6.955991231,815,157
2017,Esan Central,Edo,9.113694477,462,107
2017,Esan North-East,Edo,9.229506779,108,132
2017,Esan South-East,Edo,9.334749137,245,108
2017,Esan West,Edo,9.003985034,287,61
2017,Ese Odo,Ondo,7.502817252,330,115
2017,Esit Eket,Akwa Ibom,4.880498219,502,174
2017,Essien Udim,Akwa Ibom,6.711295986,271,167
2017,Etche,Rivers,7.019785969,918,165
2017,Ethiope East,Delta,7.997525263,564,79
2017,Ethiope West,Delta,8.19708641,551,159
2017,Eti-Osa,Lagos,6.946819941,190,74
2017,Etim Ekpo,Akwa Ibom,6.44669199,710,142
2017,Etinan,Akwa Ibom,5.857285817,873,145
2017,Etsako Central,Edo,9.437258764,101,192
2017,Etsako East,Edo,9.225023785,122,179
2017,Etsako West,Edo,9.191653186,724,157
2017,Etung,Cross River,6.60527299,371,151
2017,Ewekoro,Ogun,6.342566945,665,53
2017,Ezeagu,Enugu,9.295447874,220,70
2017,Ezinihitte,Imo,7.940167665,119,187
2017,Ezza North,Ebonyi,8.508739692,530,170
2017,Ezza South,Ebonyi,8.245941109,231,107
2017,Fagge,Kano,4.696736336,330,170
2017,Fakai,Kebbi,3.216754891,433,57
2017,Faskari,Katsina,4.53124756,448,75
2017,Fika,Yobe,2.3890707,173,192
2017,Fufure,Adamawa,2.345519012,347,89
2017,Funakaye,Gombe,2.226267642,725,176
2017,Fune,Yobe,2.106506546,510,194
2017,Funtua,Katsina,4.566584367,534,58
2017,Gabasawa,Kano,4.39007659,769,83
2017,Gada,Sokoto,2.550173435,752,57
2017,Gagarawa,Jigawa,3.72945137,619,76
2017,Gamawa,Bauchi,2.913325524,408,59
2017,Ganjuwa,Bauchi,3.766666729,623,67
2017,Ganye,Adamawa,3.434646398,162,128
2017,Garki,Jigawa,4.094299157,197,61
2017,Garko,Kano,4.527155195,722,191
2017,Garum Mallam,Kano,4.839116096,459,128
2017,Gashaka,Taraba,4.878344176,433,169
2017,Gassol,Taraba,4.85462504,889,50
2017,Gaya,Kano,4.522807227,777,145
2017,Gbako,Niger,5.242524657,690,91
2017,Gboko,Benue,7.950613548,716,172
2017,Geidam,Yobe,1.756404761,953,131
2017,Gezawa,Kano,4.645470619,443,191
2017,Giade,Bauchi,3.389773937,125,79
2017,Girei,Adamawa,2.121247452,931,61
2017,Giwa,Kaduna,4.812617593,442,193
2017,Gokana,Rivers,6.078693231,944,115
2017,Gombe,Gombe,2.551377892,676,53
2017,Gombi,Adamawa,1.666374588,974,187
2017,Goronyo,Sokoto,2.800135981,743,167
2017,Gubio,Borno,1.580968869,504,80
2017,Gudu,Sokoto,2.345698695,327,71
2017,Gujba,Yobe,1.851075319,395,119
2017,Gulani,Yobe,2.042134506,947,170
2017,Guma,Benue,7.692233184,153,90
2017,Gumel,Jigawa,3.807126658,563,141
2017,Gummi,Zamfara,3.151498877,160,72
2017,Gurara,Niger,5.99409203,216,82
2017,Guri,Jigawa,2.834123198,155,169
2017,Gusau,Zamfara,4.300396719,663,106
2017,Guyuk,Adamawa,2.17324247,905,192
2017,Guzamala,Borno,1.283377213,161,133
2017,Gwadabawa,Sokoto,2.596736073,437,183
2017,Gwagwalada,Federal Capital Territory,6.43368803,610,61
2017,Gwale,Kano,4.636583328,169,125
2017,Gwandu,Kebbi,2.827839445,773,106
2017,Gwaram,Jigawa,3.779025906,685,102
2017,Gwarzo,Kano,4.82790947,290,81
2017,Gwer East,Benue,8.391198831,910,182
2017,Gwer West,Benue,8.431556087,785,66
2017,Gwiwa,Jigawa,4.327174453,127,81
2017,Gwoza,Borno,1.244970691,916,65
2017,Hadejia,Jigawa,3.840722322,805,146
2017,Hawul,Borno,1.678580767,421,177
2017,Hong,Adamawa,1.457155885,164,177
2017,Ibadan North,Oyo,5.640500069,904,80
2017,Ibadan North-East,Oyo,5.927732348,511,169
2017,Ibadan North-West,Oyo,6.02730763,885,198
2017,Ibadan South-East,Oyo,5.88996172,951,125
2017,Ibadan South-West,Oyo,6.250758171,140,120
2017,Ibaji,Kogi,9.52336372,369,77
2017,Ibarapa Central,Oyo,5.719296455,241,172
2017,Ibarapa East,Oyo,5.591025035,417,168
2017,Ibarapa North,Oyo,5.202053118,868,112
2017,Ibeju-Lekki,Lagos,6.871015835,948,148
2017,Ibeno,Akwa Ibom,4.644761244,257,70
2017,Ibesikpo Asutan,Akwa Ibom,5.905532564,869,132
2017,Ibi,Taraba,5.915358187,139,117
2017,Ibiono Ibom,Akwa Ibom,6.521263083,820,59
2017,Idah,Kogi,9.561387825,128,192
2017,Idanre,Ondo,7.853927675,289,127
2017,Ideato North,Imo,8.646535079,657,112
2017,Ideato South,Imo,8.561782598,302,107
2017,Idemili North,Anambra,8.959739923,109,160
2017,Idemili South,Anambra,8.923237165,340,82
2017,Ido,Oyo,5.87377135,610,113
2017,Ido/Osi,Ekiti,6.602719843,453,110
2017,Ifako-Ijaiye,Lagos,5.962371826,181,119
2017,Ife Central,Osun,6.395464301,589,179
2017,Ife East,Osun,6.637510845,981,82
2017,Ife North,Osun,6.715310335,147,173
2017,Ife South,Osun,6.949801735,613,146
2017,Ifedayo,Osun,5.970978737,606,188
2017,Ifedore,Ondo,7.260983626,203,180
2017,Ifelodun,Kwara,5.143636133,862,162
2017,Ifelodun,Osun,5.848092079,908,117
2017,Ifo,Ogun,6.533209408,654,58
2017,Igabi,Kaduna,4.800460634,394,117
2017,Igalamela/Odolu,Kogi,9.482062511,989,61
2017,Igbo Etiti,Enugu,9.420080853,972,158
2017,Igbo Eze North,Enugu,9.402756929,525,167
2017,Igbo Eze South,Enugu,9.568910122,767,148
2017,Igueben,Edo,9.208530807,229,179
2017,Ihiala,Anambra,8.502794147,609,60
2017,Ihitte/Uboma,Imo,8.131683707,419,86
2017,Ijebu East,Ogun,7.082797984,295,186
2017,Ijebu North,Ogun,6.716294335,407,155
2017,Ijebu North East,Ogun,6.887510163,981,178
2017,Ijebu Ode,Ogun,6.94262495,938,143
2017,Ijero,Ekiti,6.395293117,393,122
2017,Ijumu,Kogi,7.781180726,927,126
2017,Ika,Akwa Ibom,6.592657089,186,127
2017,Ika North East,Delta,8.991301537,365,153
2017,Ika South,Delta,8.957606792,188,169
2017,Ikara,Kaduna,4.774068324,387,151
2017,Ikeduru,Imo,8.002042214,464,98
2017,Ikeja,Lagos,6.618408918,789,81
2017,Ikenne,Ogun,6.953549027,257,186
2017,Ikere,Ekiti,7.350756804,913,142
2017,Ikole,Ekiti,6.917888503,695,189
2017,Ikom,Cross River,7.102130271,297,142
2017,Ikono,Akwa Ibom,6.816755712,463,170
2017,Ikorodu,Lagos,6.735464607,740,66
2017,Ikot Abasi,Akwa Ibom,5.487190137,346,165
2017,Ikot Ekpene,Akwa Ibom,6.727673848,363,58
2017,Ikpoba Okha,Edo,8.407138956,982,164
2017,Ikwerre,Rivers,7.116566243,861,155
2017,Ikwo,Ebonyi,7.80148643,734,173
2017,Ikwuano,Abia,7.222158253,709,117
2017,Ila,Osun,6.021600783,644,187
2017,Ilaje,Ondo,7.307522876,271,191
2017,Ile Oluji/Okeigbo,Ondo,7.151854833,717,200
2017,Ilejemeje,Ekiti,6.528833961,970,130
2017,Ilesa East,Osun,6.642912865,345,108
2017,Ilesa West,Osun,6.172234535,435,164
2017,Illela,Sokoto,2.459431192,464,50
2017,Ilorin East,Kwara,4.758322652,431,97
2017,Ilorin South,Kwara,4.848641813,693,64
2017,Ilorin West,Kwara,4.465400028,415,106
2017,Imeko Afon,Ogun,5.127093507,940,123
2017,Ingawa,Katsina,4.457163406,447,195
2017,Ini,Akwa Ibom,7.161478593,136,199
2017,Ipokia,Ogun,5.996610403,941,167
2017,Irele,Ondo,7.698484246,827,149
2017,Irepo,Oyo,3.444649072,400,63
2017,Irepodun,Kwara,5.752724557,635,69
2017,Irepodun,Osun,6.061913967,824,104
2017,Irepodun/Ifelodun,Ekiti,6.890778368,709,64
2017,Irewole,Osun,6.504464785,883,199
2017,Isa,Sokoto,3.223538583,863,152
2017,Ise/Orun,Ekiti,7.551282589,938,157
2017,Iseyin,Oyo,4.963493133,877,67
2017,Ishielu,Ebonyi,8.718874911,223,96
2017,Isi Uzo,Enugu,9.142500206,962,164
2017,Isiala Ngwa North,Abia,7.352143705,490,200
2017,Isiala Ngwa South,Abia,7.439945857,451,94
2017,Isiala Mbano,Imo,8.311676311,173,198
2017,Isin,Kwara,5.641181991,343,197
2017,Isuikwuato,Abia,8.241644485,384,148
2017,Isokan,Osun,6.574638844,508,73
2017,Isoko North,Delta,7.888725251,213,163
2017,Isoko South,Delta,7.559039051,249,109
2017,Isu,Imo,7.92638731,801,80
2017,Itas/Gadau,Bauchi,3.619310396,617,181
2017,Itesiwaju,Oyo,4.365472604,775,86
2017,Itu,Akwa Ibom,6.292824364,916,90
2017,Ivo,Ebonyi,8.204460979,216,152
2017,Iwajowa,Oyo,4.526149028,174,174
2017,Iwo,Osun,6.042931769,922,118
2017,Izzi,Ebonyi,8.227524965,620,189
2017,Jaba,Kaduna,5.988334924,628,180
2017,Jada,Adamawa,2.991656849,251,67
2017,Jahun,Jigawa,3.999230838,465,132
2017,Jakusko,Yobe,2.485618596,990,77
2017,Jalingo,Taraba,3.26716951,388,197
2017,Jama'are,Bauchi,3.684795797,167,74
2017,Jega,Kebbi,2.877883775,229,69
2017,Jema'a,Kaduna,5.954975277,785,138
2017,Jere,Borno,1.449163927,821,145
2017,Jibia,Katsina,3.944565972,117,168
2017,Jos East,Plateau,4.915050493,739,150
2017,Jos North,Plateau,5.022810221,687,54
2017,Jos South,Plateau,5.227209317,166,93
2017,Kabba/Bunu,Kogi,7.581807668,863,121
2017,Kabo,Kano,4.765613726,989,95
2017,Kachia,Kaduna,5.556512138,975,149
2017,Kaduna North,Kaduna,5.021890163,589,66
2017,Kaduna South,Kaduna,4.932329893,387,173
2017,Kafin Hausa,Jigawa,3.603586064,363,100
2017,Kafur,Katsina,4.790580056,443,82
2017,Kaga,Borno,1.768467688,912,75
2017,Kagarko,Kaduna,6.011482279,118,180
2017,Kaiama,Kwara,3.16280478,870,58
2017,Kaita,Katsina,3.802233012,597,71
2017,Kajola,Oyo,4.680068217,751,196
2017,Kajuru,Kaduna,4.963912024,814,112
2017,Kala/Balge,Borno,1.057765582,650,123
2017,Kalgo,Kebbi,2.740644717,929,177
2017,Kaltungo,Gombe,2.426038724,515,67
2017,Kanam,Plateau,4.257650803,291,75
2017,Kankara,Katsina,4.607796128,476,50
2017,Kanke,Plateau,4.871168423,375,142
2017,Kankia,Katsina,4.503130555,869,184
2017,Kano Municipal,Kano,4.613112211,363,111
2017,Karasuwa,Yobe,2.348471608,870,56
2017,Karaye,Kano,4.917819881,520,86
2017,Karim-Lamido,Taraba,3.596123496,740,59
2017,Karu,Nasarawa,6.642651881,366,105
2017,Katagum,Bauchi,3.298754157,275,50
2017,Katcha,Niger,5.685015246,597,183
2017,Katsina,Katsina,4.080985427,509,93
2017,Katsina Ala,Benue,6.933548022,652,178
2017,Kaugama,Jigawa,3.527166119,306,188
2017,Kaura,Kaduna,5.531354321,465,151
2017,Kaura Namoda,Zamfara,3.907162937,293,166
2017,Kauru,Kaduna,5.100087342,625,158
2017,Kazaure,Jigawa,4.324618426,241,141
2017,Keana,Nasarawa,7.394456008,197,170
2017,Kebbe,Sokoto,2.982652637,649,137
2017,Keffi,Nasarawa,6.857709249,226,180
2017,Khana,Rivers,5.78700635,987,185
2017,Kibiya,Kano,4.790489584,580,57
2017,Kirfi,Bauchi,3.228249138,273,87
2017,Kiri Kasama,Jigawa,3.108894809,194,61
2017,Kiru,Kano,4.939832568,632,144
2017,Kiyawa,Jigawa,4.051650237,617,65
2017,Kogi,Kogi,8.082990783,254,147
2017,Koko/Besse,Kebbi,2.946990324,839,90
2017,Kokona,Nasarawa,7.006900169,423,115
2017,Kolokuma/Opokuma,Bayelsa,7.056874015,828,141
2017,Konduga,Borno,1.47618389,236,96
2017,Konshisha,Benue,8.138032845,445,193
2017,Kontagora,Niger,3.773401582,157,135
2017,Kosofe,Lagos,6.852728844,392,54
2017,Kubau,Kaduna,4.580387735,248,175
2017,Kudan,Kaduna,4.689927697,710,126
2017,Kuje,Federal Capital Territory,7.295385739,650,168
2017,Kukawa,Borno,1.095075693,911,163
2017,Kumbotso,Kano,4.745772282,982,126
2017,Kunchi,Kano,4.597421521,961,77
2017,Kura,Kano,4.879731451,103,179
2017,Kurfi,Katsina,4.223580348,258,142
2017,Kurmi,Taraba,5.689458449,145,170
2017,Kusada,Katsina,4.580688745,650,198
2017,Kwali,Federal Capital Territory,6.984690294,967,178
2017,Kwami,Gombe,2.396277808,721,119
2017,Kwande,Benue,6.95326391,895,199
2017,Kware,Sokoto,2.809128954,424,178
2017,Kwaya Kusar,Borno,1.991838361,682,108
2017,Lafia,Nasarawa,6.719508439,182,105
2017,Lagelu,Oyo,6.085656816,749,62
2017,Lagos Island,Lagos,6.822614829,813,106
2017,Lagos Mainland,Lagos,6.452707291,382,108
2017,Lamurde,Adamawa,2.515046075,371,143
2017,Langtang North,Plateau,4.987227669,335,195
2017,Langtang South,Plateau,5.582551141,343,84
2017,Lapai,Niger,6.82621256,505,151
2017,Lau,Taraba,3.041627794,900,76
2017,Lavun,Niger,4.536017423,898,107
2017,Lere,Kaduna,4.777771505,810,108
2017,Logo,Benue,7.267481561,944,181
2017,Lokoja,Kogi,7.604504985,916,50
2017,Machina,Yobe,2.856739622,669,178
2017,Madagali,Adamawa,1.177123131,345,174
2017,Madobi,Kano,4.739709173,865,161
2017,Mafa,Borno,1.399931655,736,141
2017,Magama,Niger,3.408038364,169,180
2017,Magumeri,Borno,1.694268537,568,192
2017,Mai'adua,Katsina,3.939524496,674,51
2017,Maiduguri,Borno,1.510748684,155,158
2017,Maigatari,Jigawa,3.450553465,331,51
2017,Maiha,Adamawa,1.443755141,943,121
2017,Maiyama,Kebbi,2.863363057,180,184
2017,Makoda,Kano,4.357314173,471,184
2017,Makurdi,Benue,8.059990335,478,71
2017,Malam Madori,Jigawa,3.238343611,834,187
2017,Malumfashi,Katsina,4.76984488,613,81
2017,Mangu,Plateau,5.313885876,474,145
2017,Mani,Katsina,4.100235058,401,73
2017,Maradun,Zamfara,3.514076967,802,191
2017,Mariga,Niger,3.899101123,183,73
2017,Makarfi,Kaduna,4.821650982,459,181
2017,Marte,Borno,1.316972082,829,149
2017,Maru,Zamfara,4.087011579,356,71
2017,Mashegu,Niger,3.789631994,442,150
2017,Mashi,Katsina,3.882256125,768,73
2017,Matazu,Katsina,4.575253328,974,51
2017,Mayo Belwa,Adamawa,2.94441843,171,92
2017,Mbaitoli,Imo,8.03853832,942,162
2017,Mbo,Akwa Ibom,4.825519323,344,64
2017,Michika,Adamawa,1.21637821,358,138
2017,Miga,Jigawa,3.789634477,837,198
2017,Mikang,Plateau,5.245306759,495,126
2017,Minjibir,Kano,4.640066942,447,184
2017,Misau,Bauchi,3.174296184,698,165
2017,Mkpat Enin,Akwa Ibom,5.616179283,694,140
2017,Moba,Ekiti,6.097631931,856,68
2017,Mobbar,Borno,1.422948859,944,132
2017,Mokwa,Niger,4.66748963,724,178
2017,Monguno,Borno,1.269205587,427,134
2017,Mopa Muro,Kogi,7.134695952,650,72
2017,Moro,Kwara,4.103829981,263,66
2017,Mubi North,Adamawa,1.178033101,474,104
2017,Mubi South,Adamawa,1.345291243,253,167
2017,Musawa,Katsina,4.654078784,717,171
2017,Mushin,Lagos,6.799201488,645,94
2017,Muya,Niger,5.440990039,787,176
2017,Nafada,Gombe,2.369160588,461,157
2017,Nangere,Yobe,2.492674726,835,142
2017,Nasarawa,Kano,4.310024738,857,83
2017,Nasarawa,Nasarawa,7.864918537,700,100
2017,Nasarawa Eggon,Nasarawa,6.834612381,261,143
2017,Ndokwa East,Delta,8.258539668,844,136
2017,Ndokwa West,Delta,8.36259798,270,124
2017,Nembe,Bayelsa,5.681025557,285,88
2017,Ngala,Borno,1.2054309,949,92
2017,Nganzai,Borno,1.440101658,529,132
2017,Ngaski,Kebbi,3.253316472,242,64
2017,Ngor Okpala,Imo,7.512873004,577,153
2017,Nguru,Yobe,2.71884424,522,80
2017,Ningi,Bauchi,4.345813356,201,152
2017,Njaba,Imo,8.206335545,923,64
2017,Njikoka,Anambra,8.966911793,126,129
2017,Nkanu East,Enugu,8.757263921,715,188
2017,Nkanu West,Enugu,8.948189312,404,133
2017,Nkwerre,Imo,8.612681389,791,128
2017,Nnewi North,Anambra,9.130400022,586,198
2017,Nnewi South,Anambra,8.825175667,997,104
2017,Nsit Atai,Akwa Ibom,5.553985119,858,195
2017,Nsit Ibom,Akwa Ibom,5.765469392,317,200
2017,Nsit Ubium,Akwa Ibom,5.37929133,429,119
2017,Nsukka,Enugu,9.324356306,426,66
2017,Numan,Adamawa,2.531383363,573,88
2017,Nwangele,Imo,8.024240494,858,134
2017,Obafemi Owode,Ogun,6.460182336,506,78
2017,Obanliku,Cross River,6.784936428,620,142
2017,Obi,Benue,8.610040048,785,151
2017,Obi,Nasarawa,7.216868256,708,117
2017,Obi Ngwa,Abia,7.027795575,581,140
2017,Obio-Akpor,Rivers,6.551617418,149,65
2017,Obokun,Osun,6.117236227,567,150
2017,Obot Akara,Akwa Ibom,6.77326356,939,105
2017,Obowo,Imo,7.703629494,873,169
2017,Obubra,Cross River,7.40573489,380,150
2017,Obudu,Cross River,7.293848458,241,198
2017,Odeda,Ogun,6.094578539,849,173
2017,Odigbo,Ondo,7.502560079,612,123
2017,Odo-Otin,Osun,5.496397291,395,192
2017,Odogbolu,Ogun,6.809587606,535,179
2017,Odukpani,Cross River,6.071300621,781,115
2017,Offa,Kwara,5.577026367,341,171
2017,Ofu,Kogi,9.332811952,208,143
2017,Ogba/Egbema/Ndoni,Rivers,7.636188584,236,113
2017,Ogbadibo,Benue,9.299378443,679,115
2017,Ogbaru,Anambra,8.605228394,916,179
2017,Ogbia,Bayelsa,6.142705896,484,119
2017,Ogbomosho North,Oyo,5.675746918,756,180
2017,Ogbomosho South,Oyo,4.815501928,979,134
2017,Ogo Oluwa,Oyo,5.329482964,811,182
2017,Ogoja,Cross River,7.665106912,382,81
2017,Ogori/Magongo,Kogi,8.544205983,193,77
2017,Ogu-Bolo,Rivers,5.693340063,136,119
