place,year,lga,state,fpi_score,annual_rainfall_mm,population_exposed_thousands
Biusare,2017,Gulani,Yobe,1.94301033,321,50
Bobi,2017,Mariga,Niger,4.401639938,1609,15
Boju Ega,2017,Otukpo,Benue,8.621426582,106,93
Bokanj,2017,Mokwa,Niger,4.06478405,345,61
Bokkos,2017,Bokkos,Plateau,5.374547005,638,67
Bopo,2017,Apa,Benue,8.905723572,1906,10
Bornu Kiji,2017,Fune,Yobe,2.246254444,561,92
Budo-Ago,2017,Itesiwaju,Oyo,4.555008411,189,37
Buga,2017,Toto,Nasarawa,7.638110638,601,54
Bui,2017,Arewa,Kebbi,2.787452459,1363,45
BUKURU,2017,Jos South,Plateau,4.948857307,1283,52
Bulabulin,2017,Guzamala,Borno,1.200416803,1289,37
Bulangu,2017,Kafin Hausa,Jigawa,3.171486855,1820,64
Bulkachuwa,2017,Katagum,Bauchi,3.259903193,878,40
Bulofa,2017,Agaie,Niger,6.187922478,1651,48
Buluk Buluk,2017,Yunusari,Yobe,1.49906373,1168,56
Buma,2017,Hawul,Borno,1.836333275,1058,67
Bundi,2017,Gubio,Borno,1.088722348,1866,22
Bungudu,2017,Bungudu,Zamfara,3.485267401,568,89
Buni,2017,Gujba,Yobe,1.683437586,1419,62
Bunkari,2017,Binji,Sokoto,2.567098856,1051,79
Buratai,2017,Biu,Borno,2.040050745,1365,61
Burji,2017,Doguwa,Kano,4.445468903,1245,5
Buruku,2017,Chikun,Kaduna,5.073471546,826,31
Burumburum,2017,Tudun Wada,Kano,4.184453964,1127,69
BURUTU,2017,Burutu,Delta,7.27675581,1703,33
Buya,2017,Bagudo,Kebbi,3.116694212,638,75
CALABAR,2017,Calabar South,Cross River,5.761425495,1682,32
Charati,2017,Lavun,Niger,4.403980732,1982,35
Cheranchi,2017,Charanchi,Katsina,4.51508522,321,83
Chibok,2017,Chibok,Borno,1.340526581,1566,24
Chinade,2017,Katagum,Bauchi,3.360350609,196,74
Chinka,2017,Ibi,Taraba,6.661783695,374,67
Chirawa,2017,Geidam,Yobe,1.27198267,502,41
Dababe,2017,Toro,Bauchi,4.773269653,1882,76
Dabalam,2017,Tarmuwa,Yobe,2.052407265,282,52
Dadiya,2017,Balanga,Gombe,2.636826038,120,23
Dagere,2017,Birnin Kebbi,Kebbi,2.531801939,1393,62
Dakingari,2017,Suru,Kebbi,2.233819962,1694,37
Dalijam,2017,Rabah,Sokoto,3.021659613,674,66
Dalla Jorau,2017,Potiskum,Yobe,2.301412344,1218,76
Dalwa West,2017,Konduga,Borno,1.937819481,1346,66
Damaga,2017,Maradun,Zamfara,3.646648407,1321,25
DAMATURU,2017,Damaturu,Yobe,1.590293169,1629,5
Dambam,2017,Damban,Bauchi,2.73859477,531,22
Dambarta,2017,Dambatta,Kano,4.415652275,1148,15
Damboa,2017,Damboa,Borno,1.727342248,499,16
Damola,2017,Ijebu North,Ogun,6.715402126,1554,96
Damshin,2017,Shendam,Plateau,5.632483482,1821,68
Dan Dume,2017,Dandume,Katsina,5.117063522,914,73
Dan Gulbi,2017,Maru,Zamfara,3.649743319,197,76
Dangara,2017,Kwali,Federal Capital Territory,7.416380882,1590,43
Dange,2017,Dange Shuni,Sokoto,3.155044794,1700,16
Danja,2017,Danja,Katsina,4.57481432,485,91
Dapchi,2017,Bursari,Yobe,1.496821046,742,18
Daraga,2017,Maru,Zamfara,4.2191329,585,73
Darana,2017,Bagudo,Kebbi,2.629437208,428,60
Darma Galadima,2017,Illela,Sokoto,2.843752861,201,82
Daudawa,2017,Faskari,Katsina,4.934933662,154,51
Daura,2017,Daura,Katsina,4.105318069,721,100
DAURA,2017,Fune,Yobe,2.080352545,482,63
Deba Habe,2017,Yamaltu/Deba,Gombe,2.046746492,1700,6
Degema,2017,Akuku-Toru,Rivers,6.085196495,1970,45
Dekala Gwejim,2017,Borgu,Niger,2.52378583,1609,94
Digimsa,2017,Biriniwa,Jigawa,3.484450102,305,70
Dikwa,2017,Dikwa,Borno,1.377670407,1490,5
Dilla,2017,Shomgom,Gombe,2.394583702,625,19
Dipchari,2017,Bama,Borno,0.713100612,971,29
Dirindaji,2017,Sakaba,Kebbi,4.045145512,1116,92
Doili,2017,Gubio,Borno,2.134755611,1266,13
Dokan Tofa,2017,Shendam,Plateau,5.279767036,1768,23
Doma,2017,Doma,Nasarawa,7.245519161,1254,19
Dong,2017,Demsa,Adamawa,2.884833574,839,33
Donga,2017,Donga,Taraba,6.293261528,1780,99
Doufoumbara,2017,Zurmi,Zamfara,3.744547129,270,41
Doumbourou,2017,Zurmi,Zamfara,4.013720989,607,32
Duchin Magaji,2017,Mashegu,Niger,3.769016743,820,27
Dudu,2017,Mobbar,Borno,1.346960664,379,36
Dukku,2017,Dukku,Gombe,3.041750669,932,21
Duku,2017,Rijau,Niger,3.21543622,1522,91
Dull,2017,Tafawa Balewa,Bauchi,4.175131798,1253,45
Dumaji,2017,Edu,Kwara,4.737926483,648,15
Dumburum,2017,Tarmuwa,Yobe,1.884219646,1970,51
Dunari,2017,Malam Madori,Jigawa,3.124326706,1833,75
Duni,2017,Atakumosa East,Osun,6.785774708,1447,70
Dure Karguma,2017,Gwoza,Borno,1.030115724,1440,90
Duru,2017,Dutse,Jigawa,4.768607616,579,75
Dutsi,2017,Dutsi,Katsina,4.281011105,1179,59
Dutsin Ma,2017,Dutsin Ma,Katsina,4.468178749,1668,20
Eban,2017,Mashegu,Niger,3.539846659,1165,63
EBUTE METTA,2017,Lagos Mainland,Lagos,7.001252651,819,24
EDDE,2017,Ede North,Osun,6.05321312,1672,63
Effon-Alaiye,2017,Oriade,Osun,6.247452259,1670,91
Egbe,2017,Yagba West,Kogi,5.662144661,1448,11
EHA-AMUFU,2017,Isi Uzo,Enugu,9.085118294,392,10
Ehor,2017,Uhunmwonde,Edo,9.153905869,1225,49
Ejigbo,2017,Ejigbo,Osun,5.55709219,1598,38
ENUGU,2017,Enugu North,Enugu,9.388257027,444,98
ENUGU-EZIKE,2017,Igbo Eze North,Enugu,9.382686615,1488,34
Epe,2017,Epe,Lagos,6.825043201,488,73
Eruwa,2017,Ibarapa East,Oyo,5.536417007,1586,87
Esabang,2017,Obubra,Cross River,7.015566826,366,8
Fagan Kawo,2017,Sule Tankarkar,Jigawa,3.706723213,1656,92
Falali,2017,Sumaila,Kano,4.685063362,883,30
Faskari,2017,Faskari,Katsina,4.409851074,1629,32
Fellagi,2017,Mashegu,Niger,3.265448809,1072,75
Fika,2017,Fika,Yobe,2.394443512,783,5
Fokku,2017,Kebbe,Sokoto,2.956935883,849,37
Foniweitoro,2017,Southern Ijaw,Bayelsa,4.983857632,1191,35
Forcados,2017,Burutu,Delta,7.249392986,747,9
Frukama,2017,Bomadi,Delta,7.161810398,1336,20
Fuka,2017,Muya,Niger,5.779841423,111,65
FUNTUA,2017,Funtua,Katsina,4.308047771,1999,26
Fuskam Mata,2017,Bassa,Plateau,4.330799103,1830,30
Gabarin,2017,Darazo,Bauchi,3.321983337,265,81
Gada,2017,Gada,Sokoto,2.427119493,324,56
Gadam,2017,Kwami,Gombe,2.48933816,1394,57
Gadau,2017,Itas/Gadau,Bauchi,3.482284069,594,51
Gadna,2017,Shiroro,Niger,4.931065559,1201,68
Gafiya,2017,Kaita,Katsina,3.420007944,1659,75
Gajale,2017,Bebeji,Kano,5.031026363,1962,36
Gajiram,2017,Nganzai,Borno,1.257379055,1919,43
Galadi,2017,Maigatari,Jigawa,3.217438459,617,70
Galadi,2017,Shinkafi,Zamfara,3.046895266,422,16
Gamawa,2017,Gamawa,Bauchi,2.860570192,470,84
Gamu,2017,Ganye,Adamawa,4.001158237,946,97
Gana,2017,Mokwa,Niger,4.375917435,1863,56
Ganegi,2017,Edati,Niger,4.912954807,1958,72
Ganga,2017,Chikun,Kaduna,4.306512356,651,69
Gangara,2017,Giwa,Kaduna,5.123819351,1961,47
Ganua,2017,Tambuwal,Sokoto,2.884871721,1331,96
Garki,2017,Garki,Jigawa,3.85901022,529,20
Garkida,2017,Gombi,Adamawa,1.778707266,484,80
Garko,2017,Garko,Kano,4.571681023,918,69
Garun Gabbas,2017,Malam Madori,Jigawa,3.23599267,1797,93
Garun Kurama,2017,Lere,Kaduna,4.985771179,1022,84
Garunguna,2017,Karasuwa,Yobe,2.359444141,600,66
Gashagar,2017,Mobbar,Borno,0.673401475,1455,34
Gashua,2017,Bade,Yobe,1.885658741,1907,48
Gaska,2017,Fune,Yobe,1.924377441,261,81
Gaya,2017,Gaya,Kano,4.540135384,315,25
Gayar,2017,Alkaleri,Bauchi,3.383722305,1879,62
Gbaki,2017,Mokwa,Niger,4.691358089,633,66
Gberia,2017,Kaiama,Kwara,3.110888958,1824,76
GBOKO,2017,Gboko,Benue,7.966111183,504,59
Gbongan,2017,Ayedaade,Osun,6.63447094,1208,46
Geauri,2017,Tsafe,Zamfara,4.696975231,440,43
Geidam,2017,Geidam,Yobe,1.365844965,1941,9
Gereng,2017,Girei,Adamawa,2.926524639,208,97
Gerkawa,2017,Mikang,Plateau,4.920713902,944,33
Geza,2017,Dandi,Kebbi,3.086936474,884,83
Gezawa,2017,Gezawa,Kano,4.45070076,292,29
Gidan Bahagu,2017,Kachia,Kaduna,5.186077595,1512,92
Gidan Makera,2017,Illela,Sokoto,2.37323308,1423,6
Gidan Rai,2017,Doma,Nasarawa,7.77752161,1317,28
Gimi,2017,Makarfi,Kaduna,5.006422043,1032,13
Gindiri,2017,Mangu,Plateau,5.196772575,1372,28
Giro,2017,Suru,Kebbi,3.11555624,656,14
Giro-Masa,2017,Shanga,Kebbi,2.720979929,269,66
Gitata,2017,Karu,Nasarawa,6.689268112,1538,40
Golbembal,2017,Gassol,Taraba,4.875058651,395,25
GOMBE,2017,Gombe,Gombe,2.32170105,683,47
Goniri,2017,Gujba,Yobe,1.80800724,1840,37
Gubber,2017,Tarmuwa,Yobe,2.398210764,774,6
Gubi,2017,Bauchi,Bauchi,4.047772884,1629,57
Gubugbu,2017,Edu,Kwara,4.854485035,1263,65
Gudi,2017,Akwanga,Nasarawa,6.975242615,1799,68
Guga,2017,Bakori,Katsina,4.822985172,1565,61
Guidan Kurau,2017,Sabon Birni,Sokoto,2.85727644,1040,91
Gujba,2017,Gujba,Yobe,1.516206264,557,61
Gulani,2017,Gulani,Yobe,2.192860365,1455,63
Gulbin Boka,2017,Mariga,Niger,3.973968506,1830,50
Gulu,2017,Lapai,Niger,7.003275871,561,81
Gulumba Gana,2017,Bama,Borno,0.927104592,1588,81
Guma,2017,Mashi,Katsina,3.945451021,1977,26
GUMEL,2017,Gumel,Jigawa,3.732483864,1290,34
Gummi,2017,Gummi,Zamfara,2.710829496,1249,69
Gumsa,2017,Geidam,Yobe,1.40444386,355,16
Gumsi,2017,Machina,Yobe,2.47631979,1863,26
Gurai,2017,Magama,Niger,3.037415266,856,13
Gurin,2017,Fufure,Adamawa,1.924895644,1041,79
Gusau,2017,Gusau,Zamfara,3.926052094,917,56
Gwadadi,2017,Rabah,Sokoto,3.352508545,1496,83
Gwagwada,2017,Chikun,Kaduna,4.787740707,564,71
Gwanara,2017,Baruten,Kwara,3.38689661,524,12
GWARAM,2017,Gwaram,Jigawa,4.285326481,1833,100
Gwasero,2017,Baruten,Kwara,2.500365496,882,95
Gwashi,2017,Bukkuyum,Zamfara,3.408173561,678,73
HADEJIA,2017,Hadejia,Jigawa,3.840722322,1922,34
Hamdullahi,2017,Albasu,Kano,4.781992435,542,98
Harbo,2017,Jahun,Jigawa,3.73692131,1551,21
Hardo Buba,2017,Biriniwa,Jigawa,3.147088766,1498,8
Hong,2017,Hong,Adamawa,1.2724787,1578,53
IBADAN,2017,Ibadan North-West,Oyo,5.88996172,976,61
Ibeto,2017,Magama,Niger,3.325851679,1610,95
Ibi,2017,Ibi,Taraba,6.677004337,1160,15
Ibillo,2017,Akoko Edo,Edo,8.528679848,423,84
Iboro,2017,Egbado North,Ogun,6.074476242,1337,29
Ida,2017,Kagarko,Kaduna,6.090614796,1294,98
Idah,2017,Idah,Kogi,9.034475327,1389,94
Idanre,2017,Idanre,Ondo,7.966812611,1643,6
Idi-lya,2017,Ido,Oyo,6.109199524,447,100
Idoani,2017,Ose,Ondo,8.196306229,1024,43
Idon,2017,Kauru,Kaduna,5.188428879,1285,78
Ifaki,2017,Ido/Osi,Ekiti,6.686913967,317,25
Ife,2017,Yagba East,Kogi,7.543479443,1481,62
IFE,2017,Ife East,Osun,6.503630161,146,11
Iferri,2017,Mariga,Niger,3.622104883,400,73
Ifon,2017,Ose,Ondo,8.693563461,1947,64
Igabi,2017,Igabi,Kaduna,4.9102211,1064,43
Igana,2017,Iwajowa,Oyo,4.533880711,1444,9
Igangan,2017,Ibarapa North,Oyo,5.076344967,299,91
Igbaja,2017,Ifelodun,Kwara,5.472263336,630,29
Igbara-Odo,2017,Ekiti South-West,Ekiti,7.064105034,1235,27
Igbekhue,2017,Orhionmwon,Edo,8.219404221,1197,84
Igbessa,2017,Ado-Odo/Ota,Ogun,6.319725513,826,45
Igbetti,2017,Olorunsogo,Oyo,3.897232056,861,95
Igbo Ora,2017,Ibarapa Central,Oyo,5.783058167,285,72
Igboho,2017,Orelope,Oyo,3.148267508,1427,63
Igbor,2017,Gwer East,Benue,7.928302765,1735,11
Igbotako,2017,Okitipupa,Ondo,7.532909393,646,68
Ignohemwen,2017,Ovia North-East,Edo,7.362340927,465,49
Igumale,2017,Ado,Benue,9.104372978,1182,24
IHIALA,2017,Ihiala,Anambra,8.392148972,986,25
IJEBU-ODE,2017,Ijebu Ode,Ogun,7.256135941,971,100
Ijero,2017,Ijero,Ekiti,6.029783249,1744,97
Ikang,2017,Akpabuyo,Cross River,4.616493225,362,99
Ikara,2017,Ikara,Kaduna,4.814357281,1120,60
Ikerre,2017,Ikere,Ekiti,7.961839199,1408,25
IKIRE,2017,Isokan,Osun,6.14174366,1885,48
IKIRUN,2017,Ifelodun,Osun,6.168897152,201,32
IKOM,2017,Ikom,Cross River,6.758701324,1881,54
IKORODU,2017,Ikorodu,Lagos,6.523390293,664,97
Ikosi,2017,Epe,Lagos,6.416623116,1448,86
Ikot Ubo,2017,Nsit Ubium,Akwa Ibom,4.905508518,1155,22
Ikot-Ekpene,2017,Ikot Ekpene,Akwa Ibom,6.845935822,519,62
ILA ORANGUN,2017,Ila,Osun,6.108375549,1456,27
Ilaro,2017,Egbado South,Ogun,6.208740711,1379,65
ILESHA,2017,Ilesa East,Osun,6.725818157,1865,66
Ilesha-Ibariba,2017,Baruten,Kwara,2.656536818,1801,83
Illo,2017,Bagudo,Kebbi,2.54227829,250,49
ILORIN,2017,Ilorin West,Kwara,4.749920845,1001,69
Ilumawfin,2017,Epe,Lagos,6.911930084,109,35
Ilu-Omoba,2017,Gbonyin,Ekiti,7.533573151,1738,24
Imorun,2017,Odigbo,Ondo,6.696046352,165,35
Ingawa,2017,Ingawa,Katsina,4.900898457,1812,60
Inyanagu,2017,Warri North,Delta,7.415385246,1740,97
Ipetu,2017,Oriade,Osun,7.065624714,1099,62
Iporo,2017,Oye,Ekiti,6.400287628,1524,73
Iranyin,2017,Surulere,Oyo,5.529049873,1565,77
Irele,2017,Irele,Ondo,7.864357948,1705,22
Iri,2017,Rijau,Niger,3.517719507,1199,19
Irrua,2017,Esan Central,Edo,9.365078926,472,87
ISA,2017,Isa,Sokoto,3.431098461,515,75
Isampo,2017,Bomadi,Delta,7.289293289,404,15
Isanlu-Esa,2017,Yagba West,Kogi,5.663649559,1619,59
Ise,2017,Ise/Orun,Ekiti,7.841814995,1682,37
ISEYIN,2017,Iseyin,Oyo,4.869422913,1031,58
Ishaga,2017,Oshodi-Isolo,Lagos,6.590627193,726,96
Itapa,2017,Oye,Ekiti,7.087722301,1403,42
Itas,2017,Itas/Gadau,Bauchi,3.774936914,430,78
Itobe,2017,Ofu,Kogi,9.075802803,1946,31
Iwerekun,2017,Ibeju-Lekki,Lagos,6.81309557,628,43
IWO,2017,Iwo,Osun,5.814208031,1440,14
Iyahe,2017,Yala,Cross River,7.704164505,1835,20
Izge Rana,2017,Gwoza,Borno,1.678892374,769,46
Izom,2017,Gurara,Niger,6.282551765,1147,44
J. Abdullahi,2017,Bali,Taraba,4.498657227,797,99
Jada,2017,Jada,Adamawa,3.439108849,914,47
Jajibiriri,2017,Yunusari,Yobe,1.575449467,1347,58
Jakusko,2017,Jakusko,Yobe,2.619117975,607,72
Jalam,2017,Damban,Bauchi,2.414748669,499,31
JALINGO,2017,Jalingo,Taraba,3.410575867,1689,99
JAMAARE,2017,Jama'are,Bauchi,3.691435575,1448,57
Jambako,2017,Maradun,Zamfara,3.608467817,754,88
Jarang,2017,Mayo Belwa,Adamawa,3.296040535,1117,88
Jarmowo,2017,Giade,Bauchi,3.178304434,1245,19
JEBBA,2017,Moro,Kwara,3.747041941,832,5
Jega,2017,Jega,Kebbi,2.994194031,911,60
Jege,2017,Yagba East,Kogi,6.954063416,922,37
Jen,2017,Lau,Taraba,2.594144821,1657,7
Jere,2017,Kagarko,Kaduna,5.77284193,677,34
Jiberu,2017,Girei,Adamawa,2.227940559,1987,90
Jibiya,2017,Jibia,Katsina,4.429380417,1078,38
Jilli,2017,Gubio,Borno,2.180807352,1951,30
Jima,2017,Gbako,Niger,5.263001919,1619,41
Jimeta,2017,Yola North,Adamawa,2.458357573,257,32
Jinjere,2017,Kogi,Kogi,8.522297859,136,93
JOS,2017,Jos North,Plateau,4.595208168,581,20
KABBA,2017,Kabba/Bunu,Kogi,8.028759003,1269,6
Kabogi,2017,Mashegu,Niger,3.935051441,1052,44
Kachako,2017,Takai,Kano,4.30344677,1381,30
Kachia,2017,Kachia,Kaduna,5.56591177,1693,53
Kadagiwa,2017,Wurno,Sokoto,3.265924931,1884,86
Kadaura,2017,Birnin Gwari,Kaduna,4.719723225,1533,64
Kade,2017,Shanga,Kebbi,3.189445496,1555,5
KADUNA,2017,Kaduna North,Kaduna,5.295474529,1246,48
KAFANCHAN,2017,Jema'a,Kaduna,5.973427296,1026,59
Kafin,2017,Paikoro,Niger,5.830100536,1736,33
Kagarko,2017,Kagarko,Kaduna,5.611525059,1144,33
Kaiama,2017,Kaiama,Kwara,2.66408062,848,82
Kaingwa,2017,Arewa,Kebbi,2.644075394,1726,48
Kainyehu,2017,Toto,Nasarawa,8.68351841,789,40
Kajiji,2017,Shagari,Sokoto,2.808068752,1922,74
Kakangi,2017,Birnin Gwari,Kaduna,3.655507088,846,20
Kala Kafra,2017,Kala/Balge,Borno,1.078048944,572,38
Kalgo,2017,Kalgo,Kebbi,2.765519857,1383,11
Kali,2017,Borgu,Niger,3.246505737,1085,61
Kalmai,2017,Billiri,Gombe,2.779519558,1713,72
Kamba,2017,Dandi,Kebbi,2.600720406,1765,14
KANGI,2017,Shanga,Kebbi,3.507346153,1209,41
Kankara,2017,Kankara,Katsina,4.970501423,1676,56
Kankiya,2017,Kankia,Katsina,4.474756241,1599,62
Kanya Baba,2017,Babura,Jigawa,4.477702618,310,71
Karagu,2017,Yunusari,Yobe,1.586164713,1727,28
Karama,2017,Gagarawa,Jigawa,4.02214241,1374,54
Karauchi,2017,Maru,Zamfara,4.075357914,1557,77
Karaye,2017,Karaye,Kano,5.004675865,913,8
Kare,2017,Fika,Yobe,2.493048191,1791,47
Kariari,2017,Bursari,Yobe,2.087941885,1864,32
Karim Lamido,2017,Karim-Lamido,Taraba,2.97074604,909,33
Karo,2017,Mokwa,Niger,3.361302614,553,99
Karshi,2017,Abuja Municipal,Federal Capital Territory,7.018054962,553,14
Karunji,2017,Baruten,Kwara,2.097743988,656,39
Kataergi,2017,Katcha,Niger,5.421411514,746,61
Katagum,2017,Zaki,Bauchi,3.080805779,292,14
Katami,2017,Silame,Sokoto,2.271074295,1162,98
Katamma,2017,Jakusko,Yobe,2.238530397,1376,100
KATSINA,2017,Katsina,Katsina,3.766818762,1398,5
KATSINA ALA,2017,Katsina Ala,Benue,7.717755318,1047,57
Kaugama,2017,Kaugama,Jigawa,3.345598459,1551,94
Kaura Namoda,2017,Kaura Namoda,Zamfara,3.654653788,704,100
Kazaure,2017,Kazaure,Jigawa,4.299046516,933,25
Keana,2017,Keana,Nasarawa,7.203178406,1509,45
Kebbe,2017,Kebbe,Sokoto,3.445831776,1314,73
KEFFI,2017,Keffi,Nasarawa,6.761065483,1089,88
Keffin Hausa,2017,Kafin Hausa,Jigawa,3.780474424,847,35
Kembu,2017,Ngaski,Kebbi,3.359979153,716,5
Kende,2017,Bagudo,Kebbi,3.305922508,1495,93
Kenu,2017,Baruten,Kwara,2.851819754,968,27
Kerun,2017,Bukkuyum,Zamfara,3.66193223,1945,76
Kesangala,2017,Nganzai,Borno,1.161499262,1525,87
Kilogbe,2017,Baruten,Kwara,2.560633183,1017,87
Kinsha,2017,Gamawa,Bauchi,2.746834755,1111,9
Kiri,2017,Shelleng,Adamawa,2.263818026,1641,83
